,count,mean,std,min,25%,50%,75%,max
timestamp,1141078.0,1367.4494463818908,1154.4333762765123,124.439221,461.2973665,903.351555,2327.30469075,3954.587643
processId,1141078.0,6909.070088986029,1816.6991465506248,1.0,7301.0,7366.0,7461.0,8619.0
threadId,1141078.0,6913.038051737041,1807.3930618018996,1.0,7301.0,7366.0,7461.0,8619.0
parentProcessId,1141078.0,2467.228933517253,2862.6397154202264,0.0,187.0,1385.0,4489.0,7672.0
userId,1141078.0,143.73106132972504,350.09469076872693,0.0,0.0,0.0,0.0,1001.0
mountNamespace,1141078.0,4026531952.465304,172.66966776414299,4026531840.0,4026531840.0,4026531840.0,4026532217.0,4026532288.0
eventId,1141078.0,237.29766238591927,354.8319328793837,2.0,4.0,42.0,257.0,1010.0
argsNum,1141078.0,2.6715570714710126,1.2503927865138125,0.0,1.0,3.0,4.0,5.0
returnValue,1141078.0,3.018247657040097,322.346825632095,-115.0,0.0,0.0,0.0,32768.0
sus,1141078.0,0.15206147169606285,0.35908062258931617,0.0,0.0,0.0,0.0,1.0
evil,1141078.0,0.1388441456236997,0.3457839696018039,0.0,0.0,0.0,0.0,1.0
label_bin,1141078.0,0.1388441456236997,0.3457839696018039,0.0,0.0,0.0,0.0,1.0
