,count,mean,std,min,25%,50%,75%,max
destination_port,2520484.0,8689.021478017714,19011.186278852943,0.0,53.0,80.0,443.0,65535.0
flow_duration,2520484.0,16592075.502931977,35232853.5569837,1.0,208.0,50628.0,5333730.0,119999998.0
total_fwd_packets,2520484.0,10.259763997708376,794.424487020292,1.0,2.0,2.0,6.0,219759.0
total_length_of_fwd_packets,2520484.0,606.5882969302721,10116.480777015306,0.0,12.0,66.0,332.0,12900000.0
fwd_packet_length_max,2520484.0,231.223577693808,756.3486251408946,0.0,6.0,40.0,203.0,24820.0
fwd_packet_length_min,2520484.0,19.20557559579827,60.80182665710603,0.0,0.0,2.0,37.0,2325.0
fwd_packet_length_mean,2520484.0,63.50838003217109,195.56050443863322,0.0,6.0,36.2857142857,52.0,5940.857143
fwd_packet_length_std,2520484.0,77.32848323173026,296.89704246545165,0.0,0.0,0.0,74.1927990345,7125.5968458437
bwd_packet_length_max,2520484.0,975.0282060905763,2038.2357963132088,0.0,6.0,98.0,746.0,19530.0
bwd_packet_length_min,2520484.0,43.164433894442496,70.88244085437827,0.0,0.0,0.0,82.0,2896.0
bwd_packet_length_mean,2520484.0,340.6477296262432,632.5498228525147,0.0,6.0,88.5,218.3333333333,5800.5
bwd_packet_length_std,2520484.0,376.5816267267424,881.0897419484525,0.0,0.0,0.0,264.4106024097,8194.660487
flow_bytes_per_s,2520484.0,1411322.3004470484,26571618.91735552,0.0,119.4425057,3716.371769,107142.8571,2071000000.0
flow_packets_per_s,2520484.0,47361.23336656087,202180.4823201928,0.016701329,2.0242354273750003,69.7398702838,17857.14286,4000000.0
flow_iat_mean,2520484.0,1446293.473938527,4683430.503153238,0.333333333,83.0,20442.6666666667,558001.655,120000000.0
flow_iat_std,2520484.0,3278466.1238449924,8457146.608713789,0.0,0.0,12407.2861316017,1492399.96575,84800261.5664079
flow_iat_max,2520484.0,10300223.753815537,25686290.8346642,1.0,176.0,46550.0,4999676.25,120000000.0
flow_iat_min,2520484.0,170442.4793872923,3014491.129575082,-14.0,3.0,4.0,69.0,120000000.0
fwd_iat_total,2520484.0,16252314.482274435,35166522.70724559,0.0,1.0,49.0,5039671.0,120000000.0
fwd_iat_mean,2520484.0,2919569.5865827026,10016910.374227349,0.0,1.0,49.0,738529.718775,120000000.0
fwd_iat_std,2520484.0,3669002.65267933,10142581.733256815,0.0,0.0,0.0,572167.317075,84602929.2769822
fwd_iat_max,2520484.0,10143692.978409305,25767454.490563255,0.0,1.0,49.0,4217952.0,120000000.0
fwd_iat_min,2520484.0,1135788.2708880517,9059986.194889022,-12.0,0.0,3.0,49.0,120000000.0
bwd_iat_total,2520484.0,11110061.88025792,30228705.173307914,0.0,0.0,3.0,150470.0,120000000.0
bwd_iat_mean,2520484.0,2027954.3712104904,9393941.768083517,0.0,0.0,3.0,29695.4,120000000.0
bwd_iat_std,2520484.0,1668780.4025169245,6630590.683506201,0.0,0.0,0.0,29186.61175,84418013.7826341
bwd_iat_max,2520484.0,5260758.338656385,18101996.72253361,0.0,0.0,3.0,121561.75,120000000.0
bwd_iat_min,2520484.0,1086246.516736468,8797754.222438768,0.0,0.0,3.0,47.0,120000000.0
fwd_header_length,2520484.0,-29204.468153735554,22311012.3000772,-32212234632.0,40.0,64.0,144.0,4644908.0
bwd_header_length,2520484.0,-2556.05901326888,1538995.3014487526,-1073741320.0,20.0,40.0,132.0,5838440.0
fwd_packets_per_s,2520484.0,40851.04211552915,193237.2050968664,0.008478041,1.218210821375,38.030284787300005,9433.962264,3000000.0
bwd_packets_per_s,2520484.0,6510.191251067765,38122.58479404979,0.0,0.16834118474999998,19.23066650565,2092.050209205,2000000.0
min_packet_length,2520484.0,16.833854132777674,25.585191716623562,0.0,0.0,2.0,37.0,1448.0
max_packet_length,2520484.0,1063.802856911609,2121.59625923674,0.0,6.0,102.0,1119.0,24820.0
packet_length_mean,2520484.0,190.66885521901403,318.3555367788569,0.0,6.0,63.6,155.75,3337.142857
packet_length_std,2520484.0,330.227234880753,660.9061310801516,0.0,2.309401077,32.33161507,322.9022444597,4731.522394
packet_length_variance,2520484.0,545816.4721494986,1736538.155318068,0.0,5.333333333,1045.333333,104265.859477124,22400000.0
fin_flag_count,2520484.0,0.032087091209466116,0.1762314447232061,0.0,0.0,0.0,0.0,1.0
psh_flag_count,2520484.0,0.2976428336779761,0.457221675097757,0.0,0.0,0.0,1.0,1.0
ack_flag_count,2520484.0,0.3117893230030423,0.46322437996885496,0.0,0.0,0.0,1.0,1.0
average_packet_size,2520484.0,212.45235827484558,345.50489637942144,0.0,9.0,81.0,180.0,3893.333333
subflow_fwd_bytes,2520484.0,606.5765285556266,10101.48120208391,0.0,12.0,66.0,332.0,12870338.0
init_win_bytes_forward,2520484.0,7265.040015727138,14596.88640218263,-1.0,-1.0,251.0,8192.0,65535.0
init_win_bytes_backward,2520484.0,2227.300967591939,8921.636278527809,-1.0,-1.0,0.0,235.0,65535.0
act_data_pkt_fwd,2520484.0,5.997898022760708,674.4265818639861,0.0,0.0,1.0,3.0,213557.0
min_seg_size_forward,2520484.0,-3082.6204927307613,1149829.8334514562,-536870661.0,20.0,20.0,32.0,138.0
