,count,mean,std,min,25%,50%,75%,max
cc_num,1852394.0,4.173860383937104e+17,1.3091152653187348e+18,60416207185.0,180042946491150.0,3521417320836166.0,4642255475285942.0,4.992346398065154e+18
amt,1852394.0,70.0635674753859,159.25397477398326,1.0,9.64,47.45,83.1,28948.9
zip,1852394.0,48813.25819075207,26881.84596586286,1257.0,26237.0,48174.0,72042.0,99921.0
lat,1852394.0,38.53931097925171,5.071470391380583,20.0271,34.6689,39.3543,41.9404,66.6933
long,1852394.0,-90.22783229070058,13.74789488256909,-165.6723,-96.798,-87.4769,-80.158,-67.9503
city_pop,1852394.0,88643.67450931066,301487.61834365013,23.0,741.0,2443.0,20328.0,2906700.0
unix_time,1852394.0,1358674218.8343642,18195081.387559593,1325376018.0,1343016823.75,1357089331.0,1374581485.25,1388534374.0
merch_lat,1852394.0,38.538975967059386,5.105603877592809,19.027422,34.740122250000006,39.368900499999995,41.956263,67.510267
merch_long,1852394.0,-90.2279395091379,13.759692112582874,-166.671575,-96.89944,-87.44069350000001,-80.245108,-66.950902
is_fraud,1852394.0,0.005210014716091717,0.07199217499619152,0.0,0.0,0.0,0.0,1.0
customer_age,1852394.0,46.26387407862474,17.409975608717506,13.92,32.89,44.24,57.31,96.17
geo_distance_km,1852394.0,76.11172602534882,29.116970379279987,0.022,55.32,78.216,98.509,152.117
