,count,mean,std,min,25%,50%,75%,max
dur,145222.0,1.3859124183654785,5.323925495147705,0.0,0.018518999218940735,0.4701965004205704,1.0128772854804993,59.9999885559082
spkts,145222.0,31.79441131509,178.53381942135312,1.0,8.0,10.0,22.0,10646.0
dpkts,145222.0,31.9084849402983,145.58312026634945,0.0,6.0,8.0,20.0,11018.0
sbytes,145222.0,14437.37407555329,229578.33966280497,24.0,564.0,1008.0,2766.0,14355774.0
dbytes,145222.0,24981.33857817686,191167.0446848327,0.0,268.0,678.0,3276.0,14657531.0
rate,145222.0,19925.462890625,81721.671875,0.0,23.88234567642212,57.74465370178223,2742.23046875,1000000.0
sload,145222.0,34516620.0,187939040.0,0.0,8019.3748779296875,31365.74609375,612318.4375,5988000256.0
dload,145222.0,1155374.875,3121508.75,0.0,2858.8418579101562,9309.61083984375,576354.0625,22422730.0
sloss,145222.0,8.376898816983653,86.529278838412,0.0,2.0,2.0,6.0,5319.0
dloss,145222.0,11.651003291512305,70.05911918436158,0.0,1.0,2.0,6.0,5507.0
sinpkt,145222.0,387.381103515625,4036.643310546875,0.0,0.5678254961967468,31.731285095214844,80.93404769897461,84371.4921875
dinpkt,145222.0,119.17381286621094,1147.389892578125,0.0,0.36023201048374176,33.930564880371094,89.92892456054688,57739.23828125
sjit,145222.0,6096.615234375,44343.05078125,0.0,23.06885051727295,1784.7630004882812,4743.9420166015625,1483830.875
djit,145222.0,833.9042358398438,4594.23876953125,0.0,1.4304770231246948,83.85224914550781,201.4893913269043,463199.25
swin,145222.0,202.67835451928772,102.97121182446793,0.0,255.0,255.0,255.0,255.0
stcpb,145222.0,1702018970.4214582,1407081546.5540247,0.0,223045013.5,1579846076.5,2942856519.0,4294958913.0
dtcpb,145222.0,1695368629.5510046,1404120999.8437932,0.0,222777543.25,1570734365.0,2933947727.75,4294881924.0
dwin,145222.0,201.7086805029541,103.67302546036736,0.0,255.0,255.0,255.0,255.0
tcprtt,145222.0,0.07635294646024704,0.11027371138334274,0.0,0.0006000000284984708,0.04368999972939491,0.13690649718046188,3.821465015411377
synack,145222.0,0.03923802822828293,0.06542316824197769,0.0,0.00047400000039488077,0.006996000185608864,0.07096650265157223,3.22678804397583
ackdat,145222.0,0.03711491823196411,0.05440407618880272,0.0,0.00011899999663000926,0.017742500640451908,0.06349774822592735,2.9287779331207275
smean,145222.0,176.87163102009336,253.17196180774187,24.0,59.0,83.0,132.0,1504.0
dmean,145222.0,207.9176777623225,307.0868309613235,0.0,44.0,79.0,153.0,1500.0
trans_depth,145222.0,0.17429865998264726,0.9310157288386368,0.0,0.0,0.0,0.0,172.0
response_body_len,145222.0,3449.9248529837078,65924.34694589389,0.0,0.0,0.0,0.0,6558056.0
ct_src_dport_ltm,145222.0,1.7755643084381154,2.8724619839508825,1.0,1.0,1.0,1.0,59.0
ct_dst_sport_ltm,145222.0,1.2272451832366997,1.4506042542637088,1.0,1.0,1.0,1.0,46.0
is_ftp_login,145222.0,0.016430017490462877,0.12863048804485303,0.0,0.0,0.0,0.0,4.0
ct_ftp_cmd,145222.0,0.016464447535497376,0.12892019434368612,0.0,0.0,0.0,0.0,4.0
ct_flw_http_mthd,145222.0,0.19310435058049055,0.5958090544263897,0.0,0.0,0.0,0.0,30.0
is_sm_ips_ports,145222.0,0.004159149440167468,0.06435743497934741,0.0,0.0,0.0,0.0,1.0
label,145222.0,0.44936028976325904,0.4974307224154715,0.0,0.0,0.0,1.0,1.0
log1p_sbytes,145222.0,7.194823248813898,1.5197665472318755,3.2188758248682006,6.336825731146441,6.9167150203536085,7.925518979786926,16.47966285823743
log1p_dbytes,145222.0,6.515907849018478,2.996978124837612,0.0,5.594711379601839,6.520621127558696,8.094683648698815,16.500464891000796
log1p_sload,145222.0,11.46006965637207,3.3777201175689697,0.0,8.989740133285522,10.353503704071045,13.3250093460083,22.513023376464844
log1p_dload,145222.0,9.533652305603027,4.357999801635742,0.0,7.958521604537964,9.138909816741943,13.264479398727417,16.925586700439453
log1p_dur,145222.0,0.4907844662666321,0.6082696318626404,0.0,0.01834961026906967,0.3853960931301117,0.699565201997757,4.110873699188232
